method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.fragment.app.FragmentManagerImpl: void dispatchStateChange(int)>,0,<androidx.fragment.app.FragmentManagerImpl: boolean execPendingActions()>,1.0,1.0,5.0,8.0,7.0,7.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,8.0,7.0,7.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.PlayApplication: void <init>()>,0,<rs.playradio.android.playradio.network.Stream: void <clinit>()>,1.0,1.0,1.0,1.0,29.0,4.0,5.0,1.0,1.0,-1.0,5.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1.0,1.0,29.0,4.0,5.0,1.0,1.0,-1.0,5.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,<androidx.appcompat.widget.ResourceManagerInternal: void <clinit>()>,1.0,1.0,9.0,1.0,2.0,15.0,19.0,1.0,1.0,-1.0,19.0,23910.0,203743.0,8.521246340443328,175.52200075585418,9.0,1.0,2.0,15.0,19.0,1.0,1.0,-1.0,19.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: androidx.lifecycle.Lifecycle$Event upEvent(androidx.lifecycle.Lifecycle$State)>,1.0,1.0,6.0,6.0,9.0,2.0,12.0,1.0,1.0,-1.0,12.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,6.0,9.0,2.0,12.0,1.0,1.0,-1.0,12.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.appcompat.app.AppCompatDelegateImpl: void applyFixedSizeWindow()>,0,<androidx.appcompat.widget.ContentFrameLayout: android.util.TypedValue getMinWidthMinor()>,1.0,1.0,6.0,1.0,1.0,1.0,18.0,1.0,1.0,-1.0,18.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,1.0,1.0,1.0,18.0,1.0,1.0,-1.0,18.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.app.AppCompatDelegateImpl: void installViewFactory()>,0,"<androidx.core.view.LayoutInflaterCompat: void setFactory2(android.view.LayoutInflater,android.view.LayoutInflater$Factory2)>",1.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,-1.0,5.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,1.0,4.0,2.0,5.0,1.0,1.0,-1.0,5.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.app.AppCompatDelegateImpl: android.view.ViewGroup createSubDecor()>,0,<androidx.appcompat.app.AppCompatDelegateImpl: boolean requestWindowFeature(int)>,1.0,1.0,6.0,1.0,2.0,2.0,46.0,1.0,1.0,-1.0,46.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,1.0,2.0,2.0,46.0,1.0,1.0,-1.0,46.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.appcompat.app.AppCompatDelegate: androidx.appcompat.app.AppCompatDelegate create(android.app.Activity,androidx.appcompat.app.AppCompatCallback)>",0,<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,1.0,1.0,5.0,1.0,3.0,14.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,1.0,3.0,14.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.ResourceManagerInternal: void setHooks(androidx.appcompat.widget.ResourceManagerInternal$ResourceManagerHooks)>,1.0,1.0,5.0,2.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,2.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.fragment.app.FragmentManagerImpl: boolean execPendingActions()>,0,<androidx.fragment.app.FragmentManagerImpl: void updateOnBackPressedCallbackEnabled()>,1.0,1.0,4.0,7.0,4.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,7.0,4.0,5.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
