method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<org.apache.cordova.PluginManager: org.apache.cordova.CordovaPlugin getPlugin(java.lang.String)>,0,<com.getcapacitor.cordova.MockCordovaWebViewImpl: org.apache.cordova.CordovaPreferences getPreferences()>,1.0,1.0,5.0,6.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,11971.0,65005.0,5.430206331968925,119.06716406430274,5.0,6.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,3.0,29.0,1.0,1.0,-1.0,29.0,11971.0,65005.0,5.430206331968925,119.06716406430274,9.0,2.0,1.0,3.0,29.0,1.0,1.0,-1.0,29.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
"<androidx.core.view.ViewCompat$Api21Impl: void setOnApplyWindowInsetsListener(android.view.View,androidx.core.view.OnApplyWindowInsetsListener)>",0,"<androidx.core.view.ViewCompat$Api21Impl$1: void <init>(android.view.View,androidx.core.view.OnApplyWindowInsetsListener)>",1.0,1.0,8.0,1.0,1.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,8.0,1.0,1.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<org.apache.cordova.NativeToJsMessageQueue: void setBridgeMode(int)>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,6.0,1.0,0.0,47.0,18.0,1.0,1.0,-1.0,18.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,1.0,0.0,47.0,18.0,1.0,1.0,-1.0,18.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.fragment.app.FragmentManager: void ensureExecReady(boolean)>,0,"<androidx.fragment.app.FragmentManager: void executePostponedTransaction(java.util.ArrayList,java.util.ArrayList)>",1.0,1.0,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<androidx.lifecycle.Lifecycle$1: void <clinit>()>,0,<androidx.lifecycle.Lifecycle$Event: androidx.lifecycle.Lifecycle$Event[] values()>,1.0,1.0,6.0,3.0,74.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,3.0,74.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<com.getcapacitor.Bridge: void loadWebView()>,0,<com.getcapacitor.CapConfig: boolean isHTML5Mode()>,1.0,1.0,7.0,1.0,0.0,1.0,38.0,1.0,1.0,-1.0,38.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,1.0,0.0,1.0,38.0,1.0,1.0,-1.0,38.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,16.0,8.0,1.0,1.0,-1.0,8.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,2.0,1.0,16.0,8.0,1.0,1.0,-1.0,8.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.fragment.app.FragmentManager: void startPendingDeferredFragments()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: boolean hasNext()>,1.0,1.0,6.0,2.0,0.0,177.0,16.0,1.0,1.0,-1.0,16.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,2.0,0.0,177.0,16.0,1.0,1.0,-1.0,16.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.fragment.app.FragmentActivity: void onPause()>,0,<androidx.lifecycle.Lifecycle$Event: void <clinit>()>,1.0,1.0,3.0,1.0,1.0,41.0,4.0,1.0,1.0,-1.0,4.0,11971.0,65005.0,5.430206331968925,119.06716406430274,3.0,1.0,1.0,41.0,4.0,1.0,1.0,-1.0,4.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
